               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,     metrics/mAP_0.5
94,0.029497,0.0086796,0.010045,0.9613,0.94537,0.98164,0.78683,0.019584,0.00473,0.003288,0.00442,0.00442,0.00442,,0.624845,0.8049448
95,0.029085,0.008473,0.0098629,0.97275,0.96046,0.98392,0.79061,0.019534,0.0046313,0.0030384,0.00436,0.00436,0.00436,,0.6322875,0.8068144
96,0.029356,0.0083924,0.010033,0.95459,0.95922,0.98201,0.78892,0.019382,0.004682,0.0030994,0.0043,0.0043,0.0043,,0.6204835,0.8052482
97,0.02906,0.0085096,0.0098626,0.9643,0.95814,0.98152,0.78654,0.019565,0.0047494,0.0030796,0.00424,0.00424,0.00424,,0.626795,0.8048464
98,0.029192,0.0085852,0.010294,0.95449,0.95895,0.98128,0.78812,0.019479,0.0046812,0.0031418,0.00418,0.00418,0.00418,,0.6204185,0.8046496
99,0.028694,0.0086096,0.0097681,0.95983,0.95625,0.98071,0.78942,0.019252,0.0046352,0.0030851,0.00412,0.00412,0.00412,,0.6238895,0.8041822
100,0.028964,0.0084679,0.0097627,0.97043,0.94309,0.9819,0.7862,0.019453,0.0046533,0.0030073,0.00406,0.00406,0.00406,,0.6307795,0.805158
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,0,
