               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall1,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,,      metrics/recall,     metrics/mAP_0.5
74,0.023878,0.0064367,0.0063515,0.98018,0.97637,0.98733,0.80857,0.017027,0.0032928,0.002285,0.008686,0.008686,0.008686,,0.6665224,,,0.8392305
75,0.023582,0.0063659,0.0066776,0.98085,0.97181,0.98678,0.80976,0.016774,0.0033999,0.0022139,0.008668,0.008668,0.008668,,0.666978,,,0.838763
76,0.023985,0.0067751,0.0067689,0.98455,0.97728,0.989,0.81012,0.016672,0.0033237,0.0020853,0.00865,0.00865,0.00865,,0.669494,,,0.84065
77,0.02388,0.0064084,0.0065307,0.97317,0.97326,0.98915,0.81692,0.017087,0.0034468,0.002395,0.008632,0.008632,0.008632,,0.6617556,,,0.8407775
78,0.024007,0.0064306,0.0068047,0.9469,0.96982,0.98326,0.8074,0.016926,0.0033853,0.0029334,0.008614,0.008614,0.008614,,0.643892,,,0.835771
79,0.024929,0.0069571,0.0067056,0.97495,0.97485,0.99074,0.81458,0.016901,0.0033869,0.0024414,0.008596,0.008596,0.008596,,0.662966,,,0.842129
80,0.023771,0.0062666,0.0064857,0.97371,0.97576,0.98961,0.80897,0.01676,0.0033701,0.0022779,0.008578,0.008578,0.008578,,0.6621228,,,0.8411685
81,0.023902,0.0065882,0.0063795,0.98191,0.97737,0.99046,0.81945,0.016661,0.0032985,0.0020078,0.00856,0.00856,0.00856,,0.6676988,,,0.841891
82,0.023689,0.0063716,0.0071103,0.97273,0.97508,0.98857,0.81324,0.016632,0.0033767,0.0022953,0.008542,0.008542,0.008542,,0.6614564,,,0.8402845
83,0.023061,0.0063321,0.006811,0.96935,0.96579,0.98475,0.81593,0.016558,0.0032936,0.0024079,0.008524,0.008524,0.008524,,0.659158,,,0.8370375
84,0.023691,0.0063344,0.0069027,0.97756,0.97539,0.98851,0.81322,0.016534,0.0033437,0.0022149,0.008506,0.008506,0.008506,,0.6647408,,,0.8402335
85,0.023708,0.0063445,0.0062962,0.97441,0.97379,0.9894,0.81467,0.016941,0.0032993,0.0021524,0.008488,0.008488,0.008488,,0.6625988,,,0.84099
86,0.023571,0.0064397,0.0067041,0.97911,0.96815,0.98713,0.82346,0.016144,0.0032589,0.002236,0.00847,0.00847,0.00847,,0.6657948,,,0.8390605
